GENERAL_FIELD,EARN_MDN_1YR,EARN_MDN_4YR,NUM_GRADUATES_2YR
Agriculture,46055.94954967633,55787.4697747465,18715
Architecture,47985.62023963719,62901.846385333796,9021
Arts and Design,28824.17815387619,41405.994937132156,75119
Arts and Entertainment,24245.17896948096,35298.29327530295,53506
Automotive Technology,54947.5,68226.5,270
Biology,33274.123880842875,54716.160313138396,209778
Business,47195.400486676954,61627.201639913954,661404
Chemistry,38220.20134228188,56288.17449664429,13262
Communications,31622.7695095965,44438.954811807496,160559
Computer Science,56144.468919868305,74662.52018040467,146475
Construction,69199.0620015949,83501.71630781499,8569
Criminal Justice,35256.51198568873,46757.44420592328,108406
Culinary Arts,29663.8,34719.8,810
Earth Sciences,38092.78571428571,50767.22142857143,5174
Education,39582.09521913184,45691.56691558062,133144
Engineering,66396.63789755336,80846.32463697283,210454
Environmental Science,39305.928132699635,51815.79524265529,31253
Family and Consumer Sciences,36367.65560583208,46266.486030309556,8382
Geography,36270.51388888889,49685.97222222222,4942
Healthcare,38544.029434336,52641.46284907017,502572
Hospitality and Tourism,34920.686440677964,44882.838983050846,18800
Humanities,28761.494245228077,42245.79368402429,174078
Information Technology,56255.55897435898,73589.20555555556,27798
Interdisciplinary Studies,35953.20906200318,46362.85810810811,50534
Language,36210.021757725706,49156.86640085062,19944
Law,38877.625,50317.51934523809,5128
Library Science,27955.0,33499.0,88
Mathematics,58942.82606060606,87083.49196969697,34454
Military/Defense,51667.66666666666,65948.33333333333,672
Music,22475.0,35910.0,81
Other,37304.82597487259,52905.64445300462,17915
Physics,48835.99074074074,67694.04629629629,4587
Political Science,36747.07444638695,55842.20337995338,83528
Psychology,33904.92636025823,47724.407277825565,218618
Public Administration,38409.66891891892,49590.729729729734,5015
Public Policy,42989.52941176471,61724.705882352944,2396
Public Safety,52971.719246031746,64886.46130952381,5861
Recreation and Leisure,29674.53883883884,41398.12882882883,8857
Religion,29218.143601190477,39317.006101190476,7188
Science,42333.381944444445,59891.76944444445,3115
Social Sciences,33906.47834756297,46307.407813244,191171
Social Work,33833.83438,43236.37813,35032
Transportation,62303.140476190485,86237.64047619049,8545
Urban Planning,43192.0,57973.0,1131
Urban Studies,37437.11111111111,57537.38888888889,929
